,Time,User,Tweet ID,Tweet FULL
25,2022-11-04 11:09:52+00:00,dlpbtyu,1588488694151139328,#HOLMESBURY NATION WE JUST FUCKING WONNN. ENOLA &amp; TEWKSBURY KISS (SPOILER) #EnolaHolmes2 #EnolaHolmes https://t.co/N1H1gnW5Lp
26,2022-11-04 11:09:51+00:00,riaxoxxx,1588488690812465152,"""YOU LOVE ME.
and as it turns out,
I LOVE YOU TOO.""

HELPPPPPP😭💖💖💖💖

#EnolaHomes2 #EnolaHolmes https://t.co/oI7ZHDlnIK"
27,2022-11-04 11:07:45+00:00,Bajaj_Finserv,1588488165106782208,"A wise man once said no investment is little!

#EnolaHolmes #Investment #BajajFinserv #BajajFinance https://t.co/oYlEx0mRwd"
28,2022-11-04 11:05:18+00:00,backtolife_22,1588487545931038720,"Oh, I am correct. I predicted that the missing girl is the lady in the ball. I really love detective shows/films. #EnolaHolmes"
29,2022-11-04 11:02:04+00:00,BirFilmci,1588486732403589120,"Enol Holmes 2 yayında
#EnolaHolmes #EnolaHomes2 https://t.co/yblzWt19Pw"
30,2022-11-04 10:59:53+00:00,thatguyfrank29,1588486183654686720,#EnolaHolmes time
31,2022-11-04 10:56:33+00:00,watchonline0,1588485343959207936,"""Enola Holmes 2 (2022)"" - Enola Holmes takes on her first official case to find a missing girl, as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends 

#EnolaHolmes, #EnolaHolmes2022, #watchEnolaHolmes, #watchEnolaHolmes2022 https://t.co/KKqGohhIYy"
32,2022-11-04 10:52:43+00:00,gleeshortcake,1588484378728235009,"holmesbury is coming home
#EnolaHomes2 #EnolaHolmes
https://t.co/tUGgzlZq7b"
33,2022-11-04 10:49:32+00:00,xenia_9755,1588483580715761664,"The day has come!
#EnolaHolmesNetflix #enolaholmes #enolaholmes2

@NetflixIT @netflix https://t.co/0ZHAdlew1m"
34,2022-11-04 10:49:22+00:00,HeeTetei,1588483537422135296,"No I am not surprised they gave the buildup for it like two times only to break it (frustrating) 🥹🥺❤️

#HolmesBury #EnolaHolmes https://t.co/7eY8UWxFAN"
35,2022-11-04 10:43:47+00:00,Aileyn,1588482132430790658,"Moriarty finally makes sense to me. I hope there's a third one.
#EnolaHolmes"
36,2022-11-04 10:43:33+00:00,Sofibbrown,1588482074431950848,"The movie ""Enola Holmes 2"" is already on Netflix!

📌 woow

// #EnolaHolmes #EnolaHolmes2 // https://t.co/JOzi0dEcBG"
37,2022-11-04 10:43:12+00:00,BeSiriusPadfoot,1588481986917986306,"No I am not surprised they gave the buildup for it like two times only to break it (frustrating) 🥹🥺❤️

#HolmesBury #EnolaHolmes https://t.co/7eY8UWxFAN"
38,2022-11-04 10:42:21+00:00,jeremylovesmill,1588481772538716160,Cuties 💕 #EnolaHolmes https://t.co/4pyh2Gcb4K
39,2022-11-04 10:41:32+00:00,aviannnagay,1588481567005224960,#HOLMESBURY NATION WE JUST FUCKING WONNN. ENOLA &amp; TEWKSBURY KISS (SPOILER) #EnolaHolmes2 #EnolaHolmes https://t.co/N1H1gnW5Lp
